INS,Belgium_Districts,Nb_of_Patients
11000,Antwerpen,43675
12000,Mechelen,18461
13000,Turnhout,35521
21000,Bruxelles,24331
23000,Halle-Vilvoorde,44531
24000,Leuven,38449
25000,Nivelles,34236
31000,Brugge,13672
32000,Diksmuide,8810
33000,Ieper,14304
34000,Kortrijk,20247
35000,Oostende,10240
36000,Roeselare,10883
37000,Tielt,11691
38000,Veurne,7908
41000,Aalst,13014
42000,Dendermonde,13124
43000,Eeklo,6811
44000,Gent,27842
45000,Oudenaarde,13708
46000,Sint-Niklaas,9098
51000,Ath,8783
52000,Charleroi,17188
53000,Mons,18307
54000,Mouscron,2119
55000,Soignies,11725
56000,Thuin,18747
57000,Tournai,13627
61000,Huy,20351
62000,LiËge,28398
63000,Verviers,40768
64000,Waremme,18150
71000,Hasselt,27441
72000,Maaseik,18383
73000,Tongeren,15833
81000,Arlon,5342
82000,Bastogne,7934
83000,Marche-en-Famenne,15463
84000,Neufch‚teau,14817
85000,Virton,11698
91000,Dinant,18098
92000,Namur,19469
93000,Philippeville,9365
